mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-22442;Ba2NaOsO6;mp-2920;['Na', 'Ba', 'Ba', 'Os'];[1, 2, 2, 7];['6', '12', '12', '6'];{'Na': {1: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Os': {7: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-12525;Sr2LiReO6;mp-2920;['Li', 'Sr', 'Sr', 'Re'];[1, 2, 2, 7];['6', '12', '12', '6'];{'Li': {1: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {7: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-18764;Ba2SrWO6;mp-2920;['Sr', 'Ba', 'Ba', 'W'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Sr': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-22230;BaPbO3;mp-2920;['Ba', 'Ba', 'Pb', 'Pb'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Pb': {4: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-3020;BaNbO3;mp-2920;['Nb', 'Ba'];[4, 2];['6', '12'];{'Nb': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6653;Ba2ErNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Er'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Er': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6192;Ba2DySbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Dy'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Dy': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-552191;Ba2TbBiO6;mp-2920;['Ba', 'Tb', 'Ba', 'Bi'];[2, 3, 2, 5];['12', '6', '12', '6'];{'Tb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Bi': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-545436;Ba2YbBiO6;mp-2920;['Bi', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Bi': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Yb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-7143;BaPuO3;mp-2920;['Ba', 'Pu'];[2, 4];['12', '6'];{'Pu': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-21348;Ba2EuTaO6;mp-2920;['Ba', 'Ba', 'Eu', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Eu': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-550081;Ba2LaIrO6;mp-2920;['Ba', 'La', 'Ba', 'Ir'];[2, 3, 2, 5];['12', '6', '12', '6'];{'La': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-545544;Ba2TaBiO6;mp-2920;['Ba', 'Ta', 'Ba', 'Bi'];[2, 5, 2, 3];['12', '6', '12', '6'];{'Ta': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Bi': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-11734;Sr2MgReO6;mp-2920;['Mg', 'Sr', 'Sr', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Mg': {2: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {6: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-14294;Ba2YbSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Sb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Yb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-31756;Ba2FeReO6;mp-2920;['Fe', 'Ba', 'Ba', 'Re'];[3, 2, 2, 5];['6', '12', '12', '6'];{'Fe': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-22184;Ba2SmNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Sm'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Sm': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
