mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-558351;SiO2;mp-557881;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 376, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-555891;SiO2;mp-555891;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Si': {4: {'no': 144, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-555235;SiO2;mp-555891;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Si': {4: {'no': 164, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-27253;Au2O3;mp-27253;['Au', 'Au', 'Au', 'Au'];[3, 3, 3, 3];['6', '6', '6', '6'];{'Au': {3: {'no': 172, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-546190;Ag2O3;mp-27253;['Ag', 'Ag', 'Ag', 'Ag'];[3, 3, 3, 3];['4', '4', '4', '4'];{'Ag': {3: {'no': 224, 'corner': 28, 'edge': 0, 'face': 0}}}
mp-561637;VO2;mp-561637;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6'];{'V': {4: {'no': 208, 'corner': 16, 'edge': 18, 'face': 0}}}
mp-554278;TiO2;mp-561637;['Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4];['6', '6', '6', '6'];{'Ti': {4: {'no': 208, 'corner': 16, 'edge': 18, 'face': 0}}}
mp-22633;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6'];{'Pb': {2: {'no': 312, 'corner': 48, 'edge': 0, 'face': 0}, 4: {'no': 152, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-21452;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6'];{'Pb': {2: {'no': 312, 'corner': 48, 'edge': 0, 'face': 0}, 4: {'no': 136, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-560826;SiO2;mp-560826;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 416, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-556218;SiO2;mp-560826;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 464, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-1705;Sb2O5;mp-1705;['Sb', 'Sb', 'Sb', 'Sb'];[5, 5, 5, 5];['6', '6', '6', '6'];{'Sb': {5: {'no': 192, 'corner': 28, 'edge': 4, 'face': 0}}}
mp-10390;Ta2O5;mp-1705;['Ta', 'Ta', 'Ta', 'Ta'];[5, 5, 5, 5];['6', '6', '6', '6'];{'Ta': {5: {'no': 180, 'corner': 28, 'edge': 4, 'face': 0}}}
mp-6922;SiO2;mp-6922;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4'];{'Si': {4: {'no': 168, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-10851;SiO2;mp-6922;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4'];{'Si': {4: {'no': 168, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-19066;W3O8;mp-19066;['W', 'W', 'W'];[5, 5, 6];['7', '7', '6'];{'W': {5: {'no': 80, 'corner': 10, 'edge': 6, 'face': 0}, 6: {'no': 38, 'corner': 6, 'edge': 2, 'face': 0}}}
mp-698;U3O8;mp-19066;['U', 'U', 'U'];[5, 5, 6];['7', '7', '6'];{'U': {5: {'no': 60, 'corner': 10, 'edge': 6, 'face': 0}, 6: {'no': 32, 'corner': 6, 'edge': 2, 'face': 0}}}
mp-1788;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6'];{'As': {5: {'no': 376, 'corner': 40, 'edge': 0, 'face': 0}}}
mp-555434;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6'];{'As': {5: {'no': 376, 'corner': 40, 'edge': 0, 'face': 0}}}
mp-556549;Bi2O3;mp-556549;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4'];{'Bi': {3: {'no': 336, 'corner': 40, 'edge': 8, 'face': 0}}}
mp-2136;Sb2O3;mp-556549;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4'];{'Sb': {3: {'no': 376, 'corner': 40, 'edge': 8, 'face': 0}}}
mp-556480;Ti3O5;mp-556480;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['5', '6', '5', '6', '6', '6'];{'Ti': {3: {'no': 232, 'corner': 22, 'edge': 18, 'face': 0}, 4: {'no': 116, 'corner': 14, 'edge': 6, 'face': 0}}}
mp-8057;Ti3O5;mp-556480;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6'];{'Ti': {4: {'no': 124, 'corner': 8, 'edge': 12, 'face': 0}, 3: {'no': 232, 'corner': 16, 'edge': 24, 'face': 0}}}
mp-361;Cu2O;mp-361;['Cu', 'Cu', 'Cu', 'Cu'];[1, 1, 1, 1];['2', '2', '2', '2'];{'Cu': {1: {'no': 320, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-353;Ag2O;mp-361;['Ag', 'Ag', 'Ag', 'Ag'];[1, 1, 1, 1];['2', '2', '2', '2'];{'Ag': {1: {'no': 288, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-560998;SiO2;mp-560998;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 616, 'corner': 72, 'edge': 0, 'face': 0}}}
mp-558326;SiO2;mp-560998;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 1264, 'corner': 144, 'edge': 0, 'face': 0}}}
mp-561090;SiO2;mp-561090;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Si': {4: {'no': 1248, 'corner': 136, 'edge': 0, 'face': 0}}}
mp-390;TiO2;mp-390;['Ti', 'Ti'];[4, 4];['6', '6'];{'Ti': {4: {'no': 112, 'corner': 8, 'edge': 8, 'face': 0}}}
mp-25643;V2O5;mp-25643;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '5', '5', '5', '5'];{'V': {5: {'no': 304, 'corner': 32, 'edge': 16, 'face': 0}}}
