mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-31119;TbScO3;mp-6457;['Sc', 'Sc', 'Sc', 'Sc', 'Tb', 'Tb', 'Tb', 'Tb'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Sc': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Tb': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-6674;LiLa2SbO6;mp-6457;['Li', 'Li', 'Sb', 'Sb', 'La', 'La', 'La', 'La'];[1, 1, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Li': {1: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Sb': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'La': {3: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}}
mp-25037;PrMnO3;mp-6457;['Mn', 'Mn', 'Mn', 'Mn', 'Pr', 'Pr', 'Pr', 'Pr'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Mn': {3: {'no': 184, 'corner': 24, 'edge': 0, 'face': 32}}, 'Pr': {3: {'no': 136, 'corner': 48, 'edge': 0, 'face': 56}}}
mp-11892;NaNd2RuO6;mp-6457;['Na', 'Na', 'Ru', 'Ru', 'Nd', 'Nd', 'Nd', 'Nd'];[1, 1, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Na': {1: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}, 'Ru': {5: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}, 'Nd': {3: {'no': 152, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-18783;Ca2FeMoO6;mp-6457;['Ca', 'Ca', 'Ca', 'Ca', 'Fe', 'Fe', 'Mo', 'Mo'];[2, 2, 2, 2, 3, 3, 5, 5];['11', '11', '11', '11', '6', '6', '6', '6'];{'Ca': {2: {'no': 160, 'corner': 40, 'edge': 12, 'face': 44}}, 'Fe': {3: {'no': 100, 'corner': 12, 'edge': 4, 'face': 12}}, 'Mo': {5: {'no': 100, 'corner': 12, 'edge': 4, 'face': 12}}}
mp-703673;YbVO3;mp-6457;['Yb', 'Yb', 'Yb', 'Yb', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 3, 3, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6'];{'Yb': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}, 'V': {3: {'no': 200, 'corner': 24, 'edge': 0, 'face': 32}}}
mp-510537;Ca2NiOsO6;mp-6457;['Ca', 'Ca', 'Ca', 'Ca', 'Ni', 'Ni', 'Os', 'Os'];[2, 2, 2, 2, 2, 2, 6, 6];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ca': {2: {'no': 184, 'corner': 32, 'edge': 32, 'face': 8}}, 'Ni': {2: {'no': 100, 'corner': 16, 'edge': 8, 'face': 4}}, 'Os': {6: {'no': 100, 'corner': 16, 'edge': 8, 'face': 4}}}
mp-10339;SrNbO3;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Nb': {4: {'no': 176, 'corner': 24, 'edge': 0, 'face': 32}}}
mp-2879;SrSnO3;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Sn', 'Sn', 'Sn', 'Sn'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Sn': {4: {'no': 176, 'corner': 24, 'edge': 0, 'face': 32}}}
mp-566908;Sr2UMnO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'U', 'U', 'Mn', 'Mn'];[2, 2, 2, 2, 6, 6, 2, 2];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'U': {6: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Mn': {2: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-19014;Sr2CdWO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Cd', 'Cd', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Cd': {2: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'W': {6: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
