mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-21348;Ba2EuTaO6;mp-2920;['Ba', 'Ba', 'Eu', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-550081;Ba2LaIrO6;mp-2920;['Ba', 'La', 'Ba', 'Ir'];[2, 3, 2, 5];['12', '6', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-545544;Ba2TaBiO6;mp-2920;['Ba', 'Ta', 'Ba', 'Bi'];[2, 5, 2, 3];['12', '6', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-11734;Sr2MgReO6;mp-2920;['Mg', 'Sr', 'Sr', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-14294;Ba2YbSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-31756;Ba2FeReO6;mp-2920;['Fe', 'Ba', 'Ba', 'Re'];[3, 2, 2, 5];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-22184;Ba2SmNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Sm'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-8557;BaPaO3;mp-2920;['Ba', 'Pa'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-3721;SrHfO3;mp-2920;['Sr', 'Sr', 'Hf', 'Hf'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-22441;Ba2MgReO6;mp-2920;['Mg', 'Ba', 'Ba', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-31760;Sr2TaFeO6;mp-2920;['Fe', 'Fe', 'Sr', 'Sr', 'Sr', 'Sr', 'Ta', 'Ta'];[3, 3, 2, 2, 2, 2, 5, 5];['6', '6', '12', '12', '12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-4096;CeAlO3;mp-2920;['Al', 'Al', 'Ce', 'Ce'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6621;Ba2ErRuO6;mp-2920;['Ru', 'Ba', 'Ba', 'Er'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-5986;BaTiO3;mp-2920;['Ti', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-4342;KNbO3;mp-2920;['K', 'Nb'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-13811;Ba2MgUO6;mp-2920;['Mg', 'Ba', 'Ba', 'U'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-9115;Ba2SrIrO6;mp-2920;['Sr', 'Ba', 'Ba', 'Ir'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13356;Ba2SrTeO6;mp-2920;['Sr', 'Te', 'Ba', 'Ba'];[2, 6, 2, 2];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
