mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-17392;Sr2ZnGe2O7;mp-14415;['Zn', 'Zn', 'Ge', 'Ge', 'Ge', 'Ge', 'Sr', 'Sr', 'Sr', 'Sr'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Zn': {2: {'no': 108, 'corner': 24, 'edge': 0, 'face': 0}}, 'Ge': {4: {'no': 200, 'corner': 24, 'edge': 12, 'face': 0}}, 'Sr': {2: {'no': 156, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-541040;Y2Be2GeO7;mp-14415;['Y', 'Y', 'Y', 'Y', 'Ge', 'Ge', 'Be', 'Be', 'Be', 'Be'];[3, 3, 3, 3, 4, 4, 2, 2, 2, 2];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4'];{'Y': {3: {'no': 252, 'corner': 28, 'edge': 28, 'face': 4}}, 'Ge': {4: {'no': 132, 'corner': 24, 'edge': 0, 'face': 0}}, 'Be': {2: {'no': 268, 'corner': 24, 'edge': 12, 'face': 0}}}
mp-6227;Ca2ZnSi2O7;mp-14415;['Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca', 'Zn', 'Zn'];[4, 4, 4, 4, 2, 2, 2, 2, 2, 2];['4', '4', '4', '4', '8', '8', '8', '8', '4', '4'];{'Si': {4: {'no': 244, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ca': {2: {'no': 216, 'corner': 28, 'edge': 28, 'face': 4}}, 'Zn': {2: {'no': 116, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-18786;Ca2CoSi2O7;mp-14415;['Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca', 'Co', 'Co'];[4, 4, 4, 4, 2, 2, 2, 2, 2, 2];['4', '4', '4', '4', '8', '8', '8', '8', '4', '4'];{'Si': {4: {'no': 244, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ca': {2: {'no': 216, 'corner': 28, 'edge': 28, 'face': 4}}, 'Co': {2: {'no': 116, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-650715;Gd2Be2GeO7;mp-14415;['Gd', 'Gd', 'Gd', 'Gd', 'Be', 'Be', 'Be', 'Be', 'Ge', 'Ge'];[3, 3, 3, 3, 2, 2, 2, 2, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4'];{'Gd': {3: {'no': 252, 'corner': 28, 'edge': 28, 'face': 4}}, 'Be': {2: {'no': 268, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ge': {4: {'no': 132, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-972387;Sr2MgGe2O7;mp-14415;['Sr', 'Sr', 'Sr', 'Sr', 'Mg', 'Mg', 'Ge', 'Ge', 'Ge', 'Ge'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4'];{'Sr': {2: {'no': 156, 'corner': 28, 'edge': 28, 'face': 4}}, 'Mg': {2: {'no': 108, 'corner': 24, 'edge': 0, 'face': 0}}, 'Ge': {4: {'no': 200, 'corner': 24, 'edge': 12, 'face': 0}}}
mp-20778;Dy2Be2GeO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Dy', 'Dy', 'Dy', 'Dy'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 276, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ge': {4: {'no': 140, 'corner': 24, 'edge': 0, 'face': 0}}, 'Dy': {3: {'no': 252, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-640807;Na2V2ZnO7;mp-14415;['Na', 'Na', 'Na', 'Na', 'V', 'V', 'V', 'V', 'Zn', 'Zn'];[1, 1, 1, 1, 5, 5, 5, 5, 2, 2];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4'];{'Na': {1: {'no': 160, 'corner': 28, 'edge': 28, 'face': 4}}, 'V': {5: {'no': 212, 'corner': 24, 'edge': 12, 'face': 0}}, 'Zn': {2: {'no': 100, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-6094;Ca2MgSi2O7;mp-14415;['Mg', 'Mg', 'Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Mg': {2: {'no': 116, 'corner': 24, 'edge': 0, 'face': 0}}, 'Si': {4: {'no': 244, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ca': {2: {'no': 216, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-14420;Er2Be2GeO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Er', 'Er', 'Er', 'Er'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 284, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ge': {4: {'no': 140, 'corner': 24, 'edge': 0, 'face': 0}}, 'Er': {3: {'no': 260, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-25703;Sr2MnGe2O7;mp-14415;['Mn', 'Mn', 'Ge', 'Ge', 'Ge', 'Ge', 'Sr', 'Sr', 'Sr', 'Sr'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Mn': {2: {'no': 84, 'corner': 24, 'edge': 0, 'face': 0}}, 'Ge': {4: {'no': 200, 'corner': 24, 'edge': 12, 'face': 0}}, 'Sr': {2: {'no': 148, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-9077;Nd2Be2SiO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Nd', 'Nd', 'Nd', 'Nd'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 268, 'corner': 24, 'edge': 12, 'face': 0}}, 'Si': {4: {'no': 132, 'corner': 24, 'edge': 0, 'face': 0}}, 'Nd': {3: {'no': 252, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-6655;Y2Be2SiO7;mp-14415;['Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Y', 'Y', 'Y', 'Y'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Be': {2: {'no': 284, 'corner': 24, 'edge': 12, 'face': 0}}, 'Si': {4: {'no': 140, 'corner': 24, 'edge': 0, 'face': 0}}, 'Y': {3: {'no': 260, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-6564;Sr2MgSi2O7;mp-14415;['Mg', 'Mg', 'Si', 'Si', 'Si', 'Si', 'Sr', 'Sr', 'Sr', 'Sr'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Mg': {2: {'no': 108, 'corner': 24, 'edge': 0, 'face': 0}}, 'Si': {4: {'no': 212, 'corner': 24, 'edge': 12, 'face': 0}}, 'Sr': {2: {'no': 200, 'corner': 28, 'edge': 28, 'face': 4}}}
mp-22067;Ba2CuGe2O7;mp-14415;['Cu', 'Cu', 'Ge', 'Ge', 'Ge', 'Ge', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8'];{'Cu': {2: {'no': 68, 'corner': 24, 'edge': 0, 'face': 0}}, 'Ge': {4: {'no': 192, 'corner': 24, 'edge': 12, 'face': 0}}, 'Ba': {2: {'no': 136, 'corner': 28, 'edge': 28, 'face': 4}}}
