mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-3688;Er2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Er', 'Er', 'Er', 'Er'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Er': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19930;Nd2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-4394;Pr2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Pr', 'Pr', 'Pr', 'Pr'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Pr': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5950;Cd2Os2O7;mp-17113;['Cd', 'Cd', 'Cd', 'Cd', 'Os', 'Os', 'Os', 'Os'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Os': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-3370;Y2Sn2O7;mp-17113;['Y', 'Y', 'Y', 'Y', 'Sn', 'Sn', 'Sn', 'Sn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-5889;Er2Ti2O7;mp-17113;['Ti', 'Ti', 'Ti', 'Ti', 'Er', 'Er', 'Er', 'Er'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Er': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-15161;Tb2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-4974;La2Zr2O7;mp-17113;['Zr', 'Zr', 'Zr', 'Zr', 'La', 'La', 'La', 'La'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'La': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3334;Tm2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Tm', 'Tm', 'Tm', 'Tm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19200;Tb2Mo2O7;mp-17113;['Mo', 'Mo', 'Mo', 'Mo', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
